created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 11 13:05:20 +0000 2023;1734197674528612659;"Jangan Golput, pilih Capres No 3 Ganjar Pranowo Mahfud MD untuk masa depan yang lebih baik.#IndonesiaUnggul #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar https://t.co/sJTvDlf7tt";0;0;0;0;in;1720440340350414848;1734197674528612659;MelissaHay25071;https://twitter.com/MelissaHay25071/status/1734197674528612659
Mon Dec 11 13:05:18 +0000 2023;1734197669059264761;"Dengan keseriusan, Capres Ganjar Pranowo rencanakan Nusa Kambangan sebagai lokasi isolasi untuk mereka yang merugikan keuangan negara.#GanjarPranowoPilihanUmat #JNK #AtikohIbuNegara";0;0;0;0;in;1720440350043426816;1734197669059264761;BruniD60992;https://twitter.com/BruniD60992/status/1734197669059264761
Mon Dec 11 13:05:18 +0000 2023;1734197668707021144;"Dengan keseriusan, Capres Ganjar Pranowo rencanakan Nusa Kambangan sebagai lokasi isolasi untuk mereka yang merugikan keuangan negara.#GanjarPranowoPilihanUmat #JNK #AtikohIbuNegara";0;0;0;0;in;1720440165032685568;1734197668707021144;MorozWade46512;https://twitter.com/MorozWade46512/status/1734197668707021144
Mon Dec 11 13:05:18 +0000 2023;1734197667998126234;"Jangan Golput, pilih Capres No 3 Ganjar Pranowo Mahfud MD untuk masa depan yang lebih baik.#IndonesiaUnggul #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar https://t.co/7RbrtR8JnO";0;0;0;0;in;1720440608668438528;1734197667998126234;Seneviratn41848;https://twitter.com/Seneviratn41848/status/1734197667998126234
Mon Dec 11 13:05:16 +0000 2023;1734197660934914297;"Dengan keseriusan, Capres Ganjar Pranowo rencanakan Nusa Kambangan sebagai lokasi isolasi untuk mereka yang merugikan keuangan negara.#GanjarPranowoPilihanUmat #JNK #AtikohIbuNegara";0;0;0;0;in;1720440631300861952;1734197660934914297;ImaiMajhi1756;https://twitter.com/ImaiMajhi1756/status/1734197660934914297
Mon Dec 11 13:04:18 +0000 2023;1734197415442559134;"Warga Jatim yakin Ganjar Pranowo layak menjadi Calon Presiden 2024, berbeda dengan Prabowo yang pernah dipecat sebagai Jenderal TNI. @DhPrawira  https://t.co/yDZfWJ5RIi";0;0;0;0;in;1681913312844607488;1734197415442559134;AbdullhRohmat;https://twitter.com/AbdullhRohmat/status/1734197415442559134
Mon Dec 11 13:04:18 +0000 2023;1734197414217805927;"Kami percaya bahwa Ganjar sebagai calon presiden dapat membawa Indonesia ke arah yang lebih baik, lebih dari apa yang mungkin dicapai oleh Prabowo. @denysetiawan34  https://t.co/6J4XKiKFau";0;0;0;0;in;1689322938774999040;1734197414217805927;nsarasati09;https://twitter.com/nsarasati09/status/1734197414217805927
Mon Dec 11 13:04:17 +0000 2023;1734197412112244947;"Warga Jatim menyambut baik ide Ganjar sebagai calon presiden karena kami percaya pada kapasitasnya untuk membawa perubahan positif bagi Indonesia. @dwiprobo  https://t.co/olcyRJ5qUX";0;0;0;0;in;1681238417294888960;1734197412112244947;RyannKurniaa;https://twitter.com/RyannKurniaa/status/1734197412112244947
Mon Dec 11 13:04:14 +0000 2023;1734197401081245750;"Jika Ganjar maju sebagai calon presiden, kita dapat berharap untuk melihat Indonesia yang lebih merata dan inklusif bagi semua warganya. @erickyahwa  https://t.co/aFyXf0Q9RT";0;0;0;0;in;1689157343429459968;1734197401081245750;RPerantaun;https://twitter.com/RPerantaun/status/1734197401081245750
Mon Dec 11 13:04:09 +0000 2023;1734197379027636504;"Ganjar dianggap sebagai calon presiden yang dapat membawa energi segar dan inovasi, bukan sekadar mewarisi tradisi lama seperti yang sering terlihat pada Prabowo. @dyapearll  https://t.co/11TVWJUEg1";0;0;0;0;in;1679780374279495682;1734197379027636504;TiniSetyani;https://twitter.com/TiniSetyani/status/1734197379027636504
